,Athlete,Bodyweight (kg),Snatch (kg),Clean & Jerk (kg),Total (kg),Ranking,Url,Title,Year,Gender
431,Valentina Popova (RUS),72.89,120.0,145.0,265.0,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2004 Summer Olympics – Women's 75 kg,2004,Women
432,Gyöngyi Likerecz (HUN),74.19,115.0,142.5,257.5,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2004 Summer Olympics – Women's 75 kg,2004,Women
433,Christina Ioannidi (GRE),73.31,112.5,142.5,255.0,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2004 Summer Olympics – Women's 75 kg,2004,Women
434,Tatyana Khromova (KAZ),74.51,117.5,135.0,252.5,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2004 Summer Olympics – Women's 75 kg,2004,Women
435,Kim Soon-hee (KOR),74.25,112.5,137.5,250.0,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2004 Summer Olympics – Women's 75 kg,2004,Women
436,Tulia Medina (COL),70.96,112.5,132.5,245.0,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2004 Summer Olympics – Women's 75 kg,2004,Women
437,Nora Köppel (ARG),73.01,100.0,137.5,237.5,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2004 Summer Olympics – Women's 75 kg,2004,Women
438,Wanda Rijo (DOM),74.56,110.0,127.5,237.5,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2004 Summer Olympics – Women's 75 kg,2004,Women
439,Eva Dimas (ESA),74.31,105.0,125.0,230.0,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2004 Summer Olympics – Women's 75 kg,2004,Women
440,Damaris Aguirre (MEX),73.9,100.0,122.5,222.5,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2004 Summer Olympics – Women's 75 kg,2004,Women
441,Deborah Lovely (AUS),74.71,92.5,115.0,207.5,13,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2004 Summer Olympics – Women's 75 kg,2004,Women
442,Marie Jesika Dalou (MRI),74.12,57.5,72.5,130.0,14,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2004 Summer Olympics – Women's 75 kg,2004,Women
443,Nahla Ramadan (EGY),74.44,120.0,-1,-1,15,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2004 Summer Olympics – Women's 75 kg,2004,Women
444,Huang Shih-chun (TPE),73.84,-1,-1,-1,16,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2004 Summer Olympics – Women's 75 kg,2004,Women
445,Dmitry Berestov (RUS),104.68,195.0,230.0,425.0,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2004 Summer Olympics – Men's 105 kg,2004,Men
446,Ihor Razoronov (UKR),104.6,190.0,230.0,420.0,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2004 Summer Olympics – Men's 105 kg,2004,Men
447,Gleb Pisarevskiy (RUS),104.14,190.0,225.0,415.0,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2004 Summer Olympics – Men's 105 kg,2004,Men
448,Alexandru Bratan (MDA),104.24,192.5,222.5,415.0,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2004 Summer Olympics – Men's 105 kg,2004,Men
449,Ramūnas Vyšniauskas (LTU),103.91,187.5,222.5,410.0,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2004 Summer Olympics – Men's 105 kg,2004,Men
450,Alan Naniyev (AZE),104.34,190.0,220.0,410.0,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2004 Summer Olympics – Men's 105 kg,2004,Men
451,Matthias Steiner (AUT),104.35,182.5,222.5,405.0,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2004 Summer Olympics – Men's 105 kg,2004,Men
452,Aleksandr Urinov (UZB),102.22,185.0,215.0,400.0,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2004 Summer Olympics – Men's 105 kg,2004,Men
453,Mikhail Audzeyeu (BLR),104.93,185.0,215.0,400.0,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2004 Summer Olympics – Men's 105 kg,2004,Men
454,Andre Rohde (GER),103.9,177.5,217.5,395.0,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2004 Summer Olympics – Men's 105 kg,2004,Men
455,Michel Batista (CUB),103.96,182.5,212.5,395.0,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2004 Summer Olympics – Men's 105 kg,2004,Men
456,Tomáš Matykiewicz (CZE),103.74,177.5,215.0,392.5,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2004 Summer Olympics – Men's 105 kg,2004,Men
457,Sam Pera (COK),104.82,135.0,170.0,305.0,13,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2004 Summer Olympics – Men's 105 kg,2004,Men
458,Eleei Lalio (ASA),101.44,125.0,170.0,295.0,14,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2004 Summer Olympics – Men's 105 kg,2004,Men
459,Akos Sandor (CAN),104.92,-1,-1,-1,15,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2004 Summer Olympics – Men's 105 kg,2004,Men
460,Martin Tešovič (SVK),102.56,-1,-1,-1,16,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2004 Summer Olympics – Men's 105 kg,2004,Men
461,Said Saif Asaad (QAT),104.55,192.5,-1,-1,17,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2004 Summer Olympics – Men's 105 kg,2004,Men
462,Mohsen Beiranvand (IRI),104.02,-1,-1,-1,18,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2004 Summer Olympics – Men's 105 kg,2004,Men
463,Robert Dołęga (POL),103.83,-1,-1,-1,19,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2004 Summer Olympics – Men's 105 kg,2004,Men
464,Ferenc Gyurkovics (HUN),104.41,195.0,225.0,420.0,20,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2004 Summer Olympics – Men's 105 kg,2004,Men
465,Mykola Hordiychuk (UKR),102.54,185.0,210.0,395.0,21,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2004 Summer Olympics – Men's 105 kg,2004,Men
466,Zoltán Kovács (HUN),102.59,-1,-1,-1,22,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2004 Summer Olympics – Men's 105 kg,2004,Men
467,Tang Gonghong (CHN),119.52,122.5,182.5,305.0,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2004 Summer Olympics – Women's +75 kg,2004,Women
468,Jang Mi-ran (KOR),113.34,130.0,172.5,302.5,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2004 Summer Olympics – Women's +75 kg,2004,Women
469,Agata Wróbel (POL),124.68,130.0,160.0,290.0,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2004 Summer Olympics – Women's +75 kg,2004,Women
470,Viktória Varga (HUN),93.69,127.5,155.0,282.5,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2004 Summer Olympics – Women's +75 kg,2004,Women
471,Viktoriya Shaimardanova (UKR),88.14,130.0,150.0,280.0,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2004 Summer Olympics – Women's +75 kg,2004,Women
472,Cheryl Haworth (USA),131.95,125.0,155.0,280.0,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2004 Summer Olympics – Women's +75 kg,2004,Women
473,Olha Korobka (UKR),156.19,125.0,155.0,280.0,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2004 Summer Olympics – Women's +75 kg,2004,Women
474,Vasiliki Kasapi (GRE),120.57,125.0,152.5,277.5,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2004 Summer Olympics – Women's +75 kg,2004,Women
475,Carmenza Delgado (COL),94.37,120.0,150.0,270.0,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2004 Summer Olympics – Women's +75 kg,2004,Women
476,Manuela Rejas (PER),108.52,95.0,125.0,220.0,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2004 Summer Olympics – Women's +75 kg,2004,Women
477,Reanna Solomon (NRU),136.85,95.0,125.0,220.0,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2004 Summer Olympics – Women's +75 kg,2004,Women
478,Ivy Shaw (FIJ),83.7,85.0,100.0,185.0,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Women%27s_%2B75_kg,Weightlifting at the 2004 Summer Olympics – Women's +75 kg,2004,Women
479,Hossein Rezazadeh (IRI),162.95,210.0,262.5,472.5,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2004 Summer Olympics – Men's +105 kg,2004,Men
480,Viktors Ščerbatihs (LAT),140.72,205.0,250.0,455.0,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2004 Summer Olympics – Men's +105 kg,2004,Men
481,Velichko Cholakov (BUL),161.31,207.5,240.0,447.5,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2004 Summer Olympics – Men's +105 kg,2004,Men
482,Hennadiy Krasylnykov (UKR),118.43,200.0,240.0,440.0,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2004 Summer Olympics – Men's +105 kg,2004,Men
483,Oleksiy Kolokoltsev (UKR),125.07,195.0,242.5,437.5,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2004 Summer Olympics – Men's +105 kg,2004,Men
484,Paweł Najdek (POL),140.44,190.0,240.0,430.0,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2004 Summer Olympics – Men's +105 kg,2004,Men
485,Shane Hamman (USA),158.93,192.5,237.5,430.0,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2004 Summer Olympics – Men's +105 kg,2004,Men
486,An Yong-kwon (KOR),136.9,202.5,225.0,427.5,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2004 Summer Olympics – Men's +105 kg,2004,Men
487,Igor Khalilov (UZB),145.33,187.5,232.5,420.0,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2004 Summer Olympics – Men's +105 kg,2004,Men
488,Grzegorz Kleszcz (POL),124.33,190.0,225.0,415.0,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2004 Summer Olympics – Men's +105 kg,2004,Men
489,Mohamed Ihsan (EGY),142.72,185.0,220.0,405.0,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2004 Summer Olympics – Men's +105 kg,2004,Men
490,Takanobu Iwazaki (JPN),127.7,170.0,215.0,385.0,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2004 Summer Olympics – Men's +105 kg,2004,Men
491,Joel Bran (GUA),134.26,160.0,210.0,370.0,13,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2004 Summer Olympics – Men's +105 kg,2004,Men
492,Itte Detenamo (NRU),137.65,155.0,192.5,347.5,14,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2004 Summer Olympics – Men's +105 kg,2004,Men
493,Stian Grimseth (NOR),158.3,185.0,-1,-1,15,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2004 Summer Olympics – Men's +105 kg,2004,Men
494,Ronny Weller (GER),151.84,195.0,-1,-1,16,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2004 Summer Olympics – Men's +105 kg,2004,Men
495,Ashot Danielyan (ARM),163.27,-1,-1,-1,17,https://en.wikipedia.org//wiki/Weightlifting_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_%2B105_kg,Weightlifting at the 2004 Summer Olympics – Men's +105 kg,2004,Men
496,Long Qingquan (CHN),55.37,132,160,292,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2008 Summer Olympics – Men's 56 kg,2008,Men
497,Hoàng Anh Tuấn (VIE),55.97,130,160,290,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2008 Summer Olympics – Men's 56 kg,2008,Men
498,Eko Yuli Irawan (INA),55.91,130,158,288,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2008 Summer Olympics – Men's 56 kg,2008,Men
499,Yang Chin-yi (TPE),55.43,128,157,285,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2008 Summer Olympics – Men's 56 kg,2008,Men
500,Cha Kum-chol (PRK),55.85,128,155,283,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2008 Summer Olympics – Men's 56 kg,2008,Men
501,Sergio Álvarez (CUB),55.67,120,152,272,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2008 Summer Olympics – Men's 56 kg,2008,Men
502,Wang Shin-yuan (TPE),55.53,115,150,265,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2008 Summer Olympics – Men's 56 kg,2008,Men
503,Amirul Hamizan Ibrahim (MAS),55.77,121,144,265,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2008 Summer Olympics – Men's 56 kg,2008,Men
504,Masaharu Yamada (JPN),55.84,106,153,259,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2008 Summer Olympics – Men's 56 kg,2008,Men
505,Pongsak Maneetong (THA),55.64,116,142,258,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2008 Summer Olympics – Men's 56 kg,2008,Men
506,Yasunobu Sekikawa (JPN),55.79,114,142,256,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2008 Summer Olympics – Men's 56 kg,2008,Men
507,Sergio Rada (COL),55.74,112,140,252,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2008 Summer Olympics – Men's 56 kg,2008,Men
508,Tom Goegebuer (BEL),55.94,114,137,251,13,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2008 Summer Olympics – Men's 56 kg,2008,Men
509,Vito Dellino (ITA),55.99,110,137,247,14,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2008 Summer Olympics – Men's 56 kg,2008,Men
510,Igor Grabucea (MDA),55.63,109,130,239,15,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2008 Summer Olympics – Men's 56 kg,2008,Men
511,Sedat Artuç (TUR),55.98,-1,-1,-1,16,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2008 Summer Olympics – Men's 56 kg,2008,Men
512,Khalil El-Maaoui (TUN),55.87,126,-1,-1,17,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2008 Summer Olympics – Men's 56 kg,2008,Men
513,Ri Kyong-sok (PRK),55.82,-1,-1,-1,18,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2008 Summer Olympics – Men's 56 kg,2008,Men
514,Vitali Dzerbianiou (BLR),55.88,127,-1,-1,19,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2008 Summer Olympics – Men's 56 kg,2008,Men
515,Chen Wei-ling (TPE),47.11,84,112,196,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_48_kg,Weightlifting at the 2008 Summer Olympics – Women's 48 kg,2008,Women
516,Im Jyoung-hwa (KOR),47.62,86,110,196,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_48_kg,Weightlifting at the 2008 Summer Olympics – Women's 48 kg,2008,Women
517,Pensiri Laosirikul (THA),47.67,85,110,195,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_48_kg,Weightlifting at the 2008 Summer Olympics – Women's 48 kg,2008,Women
518,Hiromi Miyake (JPN),47.35,80,105,185,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_48_kg,Weightlifting at the 2008 Summer Olympics – Women's 48 kg,2008,Women
519,Mélanie Noël (FRA),47.91,80,97,177,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_48_kg,Weightlifting at the 2008 Summer Olympics – Women's 48 kg,2008,Women
520,Misaki Oshiro (JPN),47.62,80,92,172,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_48_kg,Weightlifting at the 2008 Summer Olympics – Women's 48 kg,2008,Women
521,Marzena Karpińska (POL),47.62,79,92,171,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_48_kg,Weightlifting at the 2008 Summer Olympics – Women's 48 kg,2008,Women
522,Marilou Dozois-Prévost (CAN),47.75,76,90,166,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_48_kg,Weightlifting at the 2008 Summer Olympics – Women's 48 kg,2008,Women
523,Karla Moreno (NCA),47.07,65,85,150,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_48_kg,Weightlifting at the 2008 Summer Olympics – Women's 48 kg,2008,Women
524,Pramsiri Bunphithak (THA),47.95,-1,-1,-1,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_48_kg,Weightlifting at the 2008 Summer Olympics – Women's 48 kg,2008,Women
525,Genny Pagliaro (ITA),47.85,-1,-1,-1,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_48_kg,Weightlifting at the 2008 Summer Olympics – Women's 48 kg,2008,Women
526,Chen Xiexia (CHN),47.46,95,117,212,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_48_kg,Weightlifting at the 2008 Summer Olympics – Women's 48 kg,2008,Women
527,Sibel Özkan (TUR),47.8,88,111,199,13,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_48_kg,Weightlifting at the 2008 Summer Olympics – Women's 48 kg,2008,Women
528,Nurcan Taylan (TUR),47.84,-1,-1,-1,14,https://en.wikipedia.org//wiki/Weightlifting_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_48_kg,Weightlifting at the 2008 Summer Olympics – Women's 48 kg,2008,Women
